REGIAO:;N
UF:;PA
ESTACAO:;SANTAREM
CODIGO (WMO):;A250
LATITUDE:;-2,5025
LONGITUDE:;-54,72027777
ALTITUDE:;137
DATA DE FUNDACAO:;02/09/15
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;993,3;993,3;992,7;;25,1;;25,3;25,1;;;;;;207;1,2;,6;
2025/01/01;0200 UTC;;993,7;993,8;993,3;;24,8;;25,1;24,8;;;;;;182;1,5;,5;
2025/01/01;0300 UTC;;994,2;994,2;993,7;;24,5;;24,8;24,5;;;;;;292;1,7;,2;
2025/01/01;0400 UTC;;993,6;994,2;993,6;;24,3;;24,5;24,3;;;;;;226;1;,7;
2025/01/01;0500 UTC;;993,1;993,6;993,1;;24;;24,3;24;;;;;;261;1;,5;
2025/01/01;0600 UTC;;992,6;993,1;992,6;;24,8;;24,8;24;;;;;;115;3,3;1;
2025/01/01;0700 UTC;;992;992,6;992;;24,8;;25,1;24,8;;;;;;158;3,3;,6;
2025/01/01;0800 UTC;;992;992,1;991,8;;24,9;;24,9;24,7;;;;;;127;3,9;1;
2025/01/01;0900 UTC;;992,5;992,5;992;;24,9;;24,9;24,9;;;;;;161;3,5;1,2;
2025/01/01;1000 UTC;;993,3;993,3;992,5;19;24,7;;24,9;24,6;;;;;;119;3,4;1,4;
2025/01/01;1100 UTC;;994,1;994,1;993,3;285,1;25,2;;25,2;24,7;;;;;;144;3,4;1;
2025/01/01;1200 UTC;;994,7;994,7;994,1;716,1;25,5;;25,5;25,2;;;;;;134;4,7;1,9;
2025/01/01;1300 UTC;;995,1;995,1;994,7;1197,3;26,5;;26,5;25,5;;;;;;124;4,9;1,7;
2025/01/01;1400 UTC;;995,1;995,3;995,1;1920,2;27,7;24,3;27,8;26,5;;;;;82;124;4,9;1,7;
2025/01/01;1500 UTC;;994,6;995,1;994,6;2324,4;28,5;23,2;28,5;27,7;24,5;22,9;83;72;73;110;6,2;2,8;
2025/01/01;1600 UTC;;994;994,6;993,9;3412,6;30,1;22,2;30,2;28,5;23,3;21,8;74;61;63;98;6,4;2,5;
2025/01/01;1700 UTC;;993;994;993;3148,6;30,6;21,9;30,6;29,8;22,6;21,4;65;58;60;133;6,3;2,8;
2025/01/01;1800 UTC;;991,7;993;991,7;3020,4;31,1;21,7;31,3;30,5;22,4;21,5;61;56;57;109;6,2;2,8;
2025/01/01;1900 UTC;;990,1;991,7;990,1;2287,8;31,5;21,9;31,7;31,1;22;20,8;58;52;57;84;5,6;1,8;
2025/01/01;2000 UTC;;989,6;990,1;989,6;1508,2;31,4;21,7;31,8;31,2;22,3;21,4;59;55;56;111;5,1;2,1;
2025/01/01;2100 UTC;;989,4;989,6;989,4;543,3;30,8;21,8;31,4;30,7;22,1;21,5;60;56;59;111;5,1;1;
2025/01/01;2200 UTC;;989,8;989,8;989,4;158,4;29,7;23,8;30,9;29,7;23,9;21,9;71;59;70;182;2,7;,6;
2025/01/01;2300 UTC;;990,4;990,4;989,7;;27,9;23,7;29,7;27,9;24,5;23,5;79;70;78;184;2;,9;
2025/01/02;0000 UTC;;991,5;991,5;990,4;;27,2;23,9;27,9;27,2;24,3;23,5;84;78;82;199;1,9;,8;
2025/01/02;0100 UTC;;992,8;992,8;991,5;;26,4;24,5;27,2;26,4;26,2;23,6;98;82;89;229;2;,8;
2025/01/02;0200 UTC;;993,3;993,3;992,8;;26,2;23,2;26,4;26,2;24,3;22,7;89;81;84;229;2,9;1,1;
2025/01/02;0300 UTC;;994,1;994,1;993,3;;26,4;22,5;26,4;26;25,1;22,5;99;79;79;152;4,4;1,2;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;993,2;994;993,2;;26,2;22,8;26,4;26,2;23,7;22,7;86;81;81;130;3,3;,9;
2025/01/02;0600 UTC;;992,6;993,2;992,6;;26;22,7;26,2;26;22,9;22,4;83;80;82;137;3,3;1;
2025/01/02;0700 UTC;;992,2;992,6;992,2;;26;23;26;26;23;22,6;83;81;83;102;2,7;,9;
2025/01/02;0800 UTC;;992,2;992,4;992,1;;25,8;23,7;26;25,8;23,8;23;89;83;88;73;2,6;,6;
2025/01/02;0900 UTC;;992,4;992,4;992,2;;25,5;;25,8;25,5;;;;;;94;1,9;,7;
2025/01/02;1000 UTC;;993,2;993,2;992,4;25,5;25,6;;25,6;25,4;;;;;;104;2,8;,9;
2025/01/02;1100 UTC;;994,5;994,5;993,2;472,4;26,5;;26,5;25,6;;;;;;95;4,7;2,1;
2025/01/02;1200 UTC;;995,4;995,4;994,5;576,4;26,6;24,3;26,7;26,5;;;;;87;93;5,6;2,1;
2025/01/02;1300 UTC;;996;996;995,4;750,8;27;23,7;27;26,6;24,3;23,5;87;82;82;81;5,6;1,5;
2025/01/02;1400 UTC;;995,9;996;995,9;1016,7;27,8;23,4;27,8;27;24,1;23,4;83;77;77;96;3,9;1,1;
2025/01/02;1500 UTC;;995,6;996;995,6;1434,7;28,9;22,8;28,9;27,6;23,6;22,8;78;69;70;120;5,7;2,5;
2025/01/02;1600 UTC;;994,5;995,6;994,5;2679,6;30,2;22,6;30,2;28,9;23,3;22,2;70;62;64;104;5,7;2,7;
2025/01/02;1700 UTC;;993,4;994,5;993,4;2467;30,6;22,3;30,6;30,2;23;22;65;60;62;115;5,6;2,1;
2025/01/02;1800 UTC;;991,9;993,4;991,9;2327,4;31,2;22;31,2;30,6;22,9;21,8;63;58;58;102;5,4;1,4;
2025/01/02;1900 UTC;;991;991,9;991;1038,6;30,9;23;31,2;30,7;23;21,6;63;57;63;89;3,2;,7;
2025/01/02;2000 UTC;;990,4;991;990,4;1099,5;31,1;23,8;31,6;30,9;24;21,7;67;56;65;101;2,5;,6;
2025/01/02;2100 UTC;;990,3;990,4;990,1;304,5;30;24,7;31,1;30;25;22,7;74;62;73;239;1,3;,4;
2025/01/02;2200 UTC;;990,8;990,8;990,3;63,1;28,5;24,9;30;28,5;25,5;24,8;81;73;81;252;,9;,4;
2025/01/02;2300 UTC;;992;992;990,8;;27,2;;28,5;27,2;27,1;24,2;100;80;;220;1,5;,8;
2025/01/03;0000 UTC;;992,6;992,7;992;;26,6;24,3;27,2;26,6;;;;;87;210;3,5;1,6;
2025/01/03;0100 UTC;;993,2;993,2;992,6;;26,1;24,1;26,6;26,1;24,2;23,8;89;85;89;221;3,5;1,4;
2025/01/03;0200 UTC;;993,8;993,8;993,2;;25,7;24,4;26,1;25,7;24,4;24,1;93;89;93;239;3,8;,8;
2025/01/03;0300 UTC;;994,4;994,7;993,8;;25,6;;25,8;25,6;;;;;;201;6,1;,6;
2025/01/03;0400 UTC;;993,7;994,4;993,7;;25,6;;25,7;25,5;;;;;;206;2,1;,5;
2025/01/03;0500 UTC;;993;993,7;993;;25,2;;25,6;25,2;;;;;;25;1,8;,7;
2025/01/03;0600 UTC;;992,6;993;992,5;;24,9;;25,2;24,9;;;;;;320;1,5;,3;
2025/01/03;0700 UTC;;992,1;992,6;992,1;;24,9;;25;24,9;;;;;;334;,7;,2;
2025/01/03;0800 UTC;;992,3;992,4;992,1;;24,6;;24,9;24,6;;;;;;82;,8;,1;
2025/01/03;0900 UTC;;993,1;993,1;992,2;;24,4;;24,6;24,4;;;;;;265;,7;,4;
2025/01/03;1000 UTC;;993,8;993,8;993,1;6,3;24,5;;24,6;24,4;;;;;;250;1;,8;
2025/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1200 UTC;;995,7;995,7;994,9;340,7;25,3;;25,3;24,6;;;;;;236;2;1;
2025/01/03;1300 UTC;;996;996;995,7;966,3;26,6;;26,6;25,3;;;;;;146;3,1;1,3;
2025/01/03;1400 UTC;;996,3;996,3;996;1813,2;27,8;23,1;27,8;26,6;26,9;23,1;100;76;76;76;3,5;1,7;
2025/01/03;1500 UTC;;995,4;996,3;995,4;1974,9;29,1;22,6;29,1;27,7;24,5;22,6;82;68;68;106;5,6;2;
2025/01/03;1600 UTC;;994,6;995,4;994,6;2350,9;29,8;22,2;29,8;29,1;23,6;22,1;71;63;64;121;6,2;2,4;
2025/01/03;1700 UTC;;994,2;994,6;994,2;1613,5;28,1;23,9;29,8;28,1;23,9;22,4;78;64;78;140;7,5;3;
2025/01/03;1800 UTC;;993,1;994,2;993,1;1454,8;27,9;22;28,1;27,3;23,8;20,7;78;67;70;153;8;3,1;
2025/01/03;1900 UTC;;991,7;993,1;991,7;1315,2;28;22,8;28,3;27,9;22,9;21,9;74;69;74;131;7,5;2,3;
2025/01/03;2000 UTC;;990,9;991,7;990,8;1097,4;28,2;23,4;28,2;27,8;23,4;22,6;76;73;75;113;6,1;1,8;
2025/01/03;2100 UTC;;991;991;990,6;768,8;28,4;23,2;28,8;28,2;23,6;22,8;75;71;73;161;3,4;1,5;
2025/01/03;2200 UTC;;990,8;991,1;990,8;115,4;27,3;23,2;28,4;27,3;23,3;23;79;73;78;177;3,4;,8;
2025/01/03;2300 UTC;;991,3;991,4;990,8;;26,4;21,4;27,3;26,4;23,2;21,4;80;74;74;145;4,2;1,2;
2025/01/04;0000 UTC;;992;992;991,3;;25,9;21,7;26,4;25,9;21,7;21,4;78;74;78;162;3,4;1,1;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;;993,3;993,3;992,9;;25,2;20,7;25,3;25,1;21,2;20,5;79;75;76;174;5;1,4;
2025/01/04;0300 UTC;;994;994;993,3;;24,9;21,2;25,2;24,9;21,2;20,7;80;76;80;170;3,6;,8;
2025/01/04;0400 UTC;;993,8;994;993,8;;24,5;23,5;24,9;24,5;23,5;21,2;94;80;94;249;2,8;,5;
2025/01/04;0500 UTC;;993,4;993,8;993,4;;24,5;;24,5;24,4;;;;;;68;1,9;,4;
2025/01/04;0600 UTC;;993,1;993,4;993;;24,3;;24,5;24,3;;;;;;191;1,9;,8;
2025/01/04;0700 UTC;;992,6;993,1;992,5;;24,5;;24,5;24,1;;;;;;158;3;1,1;
2025/01/04;0800 UTC;;992,4;992,6;992,4;;24,5;;24,5;24,4;;;;;;150;3;1,2;
2025/01/04;0900 UTC;;992,5;992,5;992,3;;24,6;;24,6;24,5;;;;;;82;2,7;,7;
2025/01/04;1000 UTC;;993,4;993,4;992,5;9,4;24,7;;24,7;24,6;;;;;;92;2,1;,6;
2025/01/04;1100 UTC;;994,5;994,5;993,4;271,8;25,3;;25,3;24,7;;;;;;90;2;,9;
2025/01/04;1200 UTC;;995,1;995,1;994,5;732;26,2;;26,2;25,3;;;;;;77;3,1;,9;
2025/01/04;1300 UTC;;995,3;995,4;995,1;792,9;26,5;;26,5;26,2;;;;;;114;2,8;1,2;
2025/01/04;1400 UTC;;994,7;995,3;994,7;2180,5;28,1;23,5;28,1;26,5;26,6;23,2;100;74;76;109;6,1;2,4;
2025/01/04;1500 UTC;;994,2;994,7;994,2;2663,4;29,1;23,9;29,2;28,1;23,9;22,8;77;69;74;109;7,4;2,4;
2025/01/04;1600 UTC;;993,7;994,3;993,7;2365,5;29,8;22,4;29,8;29;24,2;22,3;75;64;64;118;5,7;2,4;
2025/01/04;1700 UTC;;992,5;993,7;992,5;3248,4;31,1;21,9;31,1;29,8;23,1;21,6;67;57;58;119;7;3,2;
2025/01/04;1800 UTC;;991;992,5;991;1641,5;30,7;21,8;31,2;30,4;22,2;21,4;61;56;59;126;7;1,6;
2025/01/04;1900 UTC;;990;990,9;990;1939,3;30,9;22,6;31,6;30,7;22,7;21,6;62;56;61;71;7,8;1,9;
2025/01/04;2000 UTC;;989,4;990;989,4;1226,8;30,8;22,9;31;30,6;23,4;22,3;65;60;63;39;4,8;1,1;
2025/01/04;2100 UTC;;989,7;989,7;989,4;926,6;30,9;22,2;31;30,7;22,9;21,9;63;59;60;141;2,6;1;
2025/01/04;2200 UTC;;990,9;990,9;989,7;132;29,4;24,1;30,9;29,4;24,3;22,2;74;60;73;323;2,1;,4;
2025/01/04;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0000 UTC;;992,5;992,5;991,8;;27,2;;27,7;27,2;;;;;;212;1,1;,4;
2025/01/05;0100 UTC;;994,8;994,8;992,5;1,1;24,1;;27,2;24,1;;;;;;111;12,6;3,4;
2025/01/05;0200 UTC;;994,8;995;994,7;;24;;24,1;24;;;;;;105;9,9;2,6;
2025/01/05;0300 UTC;;994,4;994,9;994,4;0;23,6;;24;23,6;;;;;;109;6,2;1,5;
2025/01/05;0400 UTC;;994,1;994,4;994;;23,9;;23,9;23,6;;;;;;147;3,7;,9;
2025/01/05;0500 UTC;;993,5;994,1;993,5;;24;;24,1;23,9;;;;;;114;2,5;,4;
2025/01/05;0600 UTC;;993;993,6;993;;23,8;;24,1;23,8;;;;;;207;1,5;,7;
2025/01/05;0700 UTC;;993,5;993,5;993;;23,6;;23,8;23,6;;;;;;232;2,3;1,2;
2025/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0900 UTC;;994,3;994,3;993,8;;23,6;;23,6;23,6;;;;;;221;1,7;,7;
2025/01/05;1000 UTC;;994,9;994,9;994,3;6,4;23,6;;23,6;23,5;;;;;;226;1,5;,7;
2025/01/05;1100 UTC;;995,4;995,4;994,9;131,8;24;;24;23,6;;;;;;191;1,7;,8;
2025/01/05;1200 UTC;;996,3;996,3;995,4;350,4;24,5;;24,5;24;;;;;;208;2,1;,6;
2025/01/05;1300 UTC;;996,6;996,6;996,3;801,3;25,4;;25,4;24,4;;;;;;286;1,2;,5;
2025/01/05;1400 UTC;;996,5;996,7;996,5;1265,3;26;;26;25,4;;;;;;332;1,6;,7;
2025/01/05;1500 UTC;;996,1;996,5;996,1;1600;26,8;;26,9;26;;;;;;39;3;,7;
2025/01/05;1600 UTC;;995,3;996,1;995,3;1235,5;27,2;23,2;27,2;26,8;27;23,2;99;79;79;29;2,1;,7;
2025/01/05;1700 UTC;;994,1;995,3;994,1;1729,3;27,8;22,3;27,8;27,2;24,4;21,7;84;70;72;353;3,1;1,4;
2025/01/05;1800 UTC;;992,9;994,1;992,9;1941,8;28,7;22,2;28,7;27,8;24;22;80;67;68;328;4,3;1,1;
2025/01/05;1900 UTC;;992;992,9;992;2300,5;29,1;21,5;29,2;28,7;22,9;21,2;70;62;64;12;4,5;1,6;
2025/01/05;2000 UTC;;992;992,1;992;1549,1;29;22,2;29,7;29;22,3;21,2;67;61;67;345;3,8;1,1;
2025/01/05;2100 UTC;;992,2;992,2;992;729,5;28,9;23,3;29,5;28,9;23,3;21,6;72;63;72;327;2,5;,4;
2025/01/05;2200 UTC;;992,8;992,9;992,1;102,6;27,5;27,5;28,9;27,4;27,5;23,4;100;72;100;319;,8;,2;
2025/01/05;2300 UTC;;993,7;993,7;992,8;;26,8;;27,5;26,8;;;;;;223;2,8;1,3;
2025/01/06;0000 UTC;;994,8;994,8;993,7;;26,3;;26,8;26,3;;;;;;114;2,8;,9;
2025/01/06;0100 UTC;;995,6;995,6;994,8;;24,6;;26,3;24,6;;;;;;78;6,7;,8;
2025/01/06;0200 UTC;;995,3;995,7;995,3;;24,6;;24,7;24,5;;;;;;114;1,5;,4;
2025/01/06;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;0400 UTC;;994,7;994,9;994,6;;24,6;;24,6;24,5;;;;;;13;2;,8;
2025/01/06;0500 UTC;;993,9;994,7;993,9;;24,6;;24,7;24,6;;;;;;47;2;,8;
2025/01/06;0600 UTC;;993,5;993,9;993,5;,1;24,5;;24,7;24,5;;;;;;2;3;1;
2025/01/06;0700 UTC;;993;993,5;993;;24,3;;24,5;24,3;;;;;;85;2,3;,5;
2025/01/06;0800 UTC;;993,2;993,2;993;;24,1;;24,3;24,1;;;;;;21;,8;,3;
2025/01/06;0900 UTC;;993,8;993,8;993,2;;24,2;;24,2;24,1;;;;;;232;,7;,4;
2025/01/06;1000 UTC;;994,6;994,6;993,8;13,6;24,2;;24,2;24,2;;;;;;238;,9;,4;
2025/01/06;1100 UTC;;995,6;995,6;994,6;478,9;25,1;;25,1;24,2;;;;;;112;1,2;,5;
2025/01/06;1200 UTC;;996,3;996,3;995,6;907,9;25,6;;25,7;25,1;;;;;;118;2,5;1,3;
2025/01/06;1300 UTC;;996,7;996,7;996,3;1539,8;26,1;;26,3;25,6;;;;;;98;3,3;1,2;
2025/01/06;1400 UTC;;996,7;996,8;996,6;2300;27,6;23,2;27,6;26,1;25,9;23,1;98;76;77;101;4,5;1,8;
2025/01/06;1500 UTC;;996,3;996,7;996,3;1916,9;28,1;24,5;28,2;27,6;26,5;22,9;91;74;81;70;4,5;1,4;
2025/01/06;1600 UTC;;995,1;996,3;995,1;1997,9;28,8;23,5;28,8;27,3;27,3;23,2;99;72;73;28;4,1;1,4;
2025/01/06;1700 UTC;;993,8;995,2;993,8;2772,4;29;22,9;29,3;28,7;24,2;22,3;76;67;70;82;4,8;1,9;
2025/01/06;1800 UTC;;992,2;993,9;992,2;2450;29,5;22,1;30;29;23,7;22;72;64;65;120;6,5;2;
2025/01/06;1900 UTC;;991,7;992,2;991,7;2511,6;29,7;22,2;29,9;29,5;22,5;21,5;67;61;64;109;6,4;2,3;
2025/01/06;2000 UTC;;991,4;991,7;991,4;1156,9;29,3;22,6;29,8;29,1;23,2;22,2;71;64;67;96;5,9;1,9;
2025/01/06;2100 UTC;;991,6;991,6;991,3;931;29,2;22,1;30;29,2;23,1;22,1;70;63;66;79;4,7;1,4;
2025/01/06;2200 UTC;;992,8;992,8;991,6;107,6;27,4;23,2;29,2;27,4;23,4;21,8;78;65;78;34;4,6;,8;
2025/01/06;2300 UTC;;993,4;993,4;992,8;;26,4;;27,4;26,4;;;;;;76;2;,4;
2025/01/07;0000 UTC;;994,2;994,2;993,4;;25,8;;26,4;25,8;;;;;;4;,8;,5;
2025/01/07;0100 UTC;;995,2;995,2;994,2;;25,6;;25,8;25,6;;;;;;87;,9;,4;
2025/01/07;0200 UTC;;996,2;996,2;995,2;;25,1;;25,7;25,1;;;;;;112;9,2;3;
2025/01/07;0300 UTC;;995,8;996,3;995,8;,1;23,7;;25,1;23,4;;;;;;118;9,2;1,6;
2025/01/07;0400 UTC;;994,7;995,8;994,7;;23,6;;23,7;23,6;;;;;;103;3,9;1,2;
2025/01/07;0500 UTC;;994,2;994,7;994,2;;23,8;;23,8;23,6;;;;;;269;3;,3;
2025/01/07;0600 UTC;;993,7;994,2;993,7;;24,2;;24,2;23,8;;;;;;96;2,8;1,1;
2025/01/07;0700 UTC;;993,2;993,8;993,2;;24,1;;24,3;24,1;;;;;;46;2,8;,8;
2025/01/07;0800 UTC;;993,2;993,2;993,1;;24,1;;24,1;24;;;;;;71;2,6;,5;
2025/01/07;0900 UTC;;993,4;993,4;993,2;;24,2;;24,2;24,1;;;;;;138;1,9;,7;
2025/01/07;1000 UTC;;994,2;994,2;993,4;13,2;24,2;;24,3;24,2;;;;;;139;3;,7;
2025/01/07;1100 UTC;;995,2;995,2;994,2;271,9;24,7;;24,7;24,2;;;;;;110;1,9;,9;
2025/01/07;1200 UTC;;995,7;995,7;995,2;900,7;25,3;;25,3;24,7;;;;;;108;3,8;1,8;
2025/01/07;1300 UTC;;996,3;996,3;995,7;1216;25,8;;25,8;25,3;;;;;;116;4,9;2,2;
2025/01/07;1400 UTC;;996,7;996,7;996,3;2120,4;26,8;23;26,8;25,8;;;;;80;103;5,6;2,4;
2025/01/07;1500 UTC;;996,3;996,7;996,3;2932,3;27,8;23,2;27,9;26,8;23,8;22,2;82;73;76;123;7,9;2,3;
2025/01/07;1600 UTC;;995,4;996,3;995,4;2567,3;28,3;22,2;28,6;27,8;24,3;22,2;82;69;69;107;5,6;2,9;
2025/01/07;1700 UTC;;994,1;995,4;994,1;2827,9;28,8;22,1;29;28,3;22,7;21,7;71;65;67;103;7;2;
2025/01/07;1800 UTC;;992,5;994,1;992,5;2372,2;28,9;21,7;29,4;28,7;22,5;21,4;68;62;65;99;7,8;2,3;
2025/01/07;1900 UTC;;991,6;992,5;991,6;1837,9;29,2;22;29,5;28,9;22,1;21,3;67;63;65;78;5,2;1,6;
2025/01/07;2000 UTC;;991;991,6;991;1336,6;29,1;21,7;29,2;29;22;21,1;66;62;65;108;5,1;1,9;
2025/01/07;2100 UTC;;991,3;991,4;990,9;720,7;28,6;22,2;29,2;28,6;22,2;21,2;68;62;68;97;4,9;1,1;
2025/01/07;2200 UTC;;991,8;991,8;991,3;158,6;27,9;22,4;28,6;27,9;22,8;22,1;72;68;72;98;3,4;,9;
2025/01/07;2300 UTC;;992,7;992,7;991,8;;26,8;23,3;27,9;26,8;23,5;22,2;82;71;81;83;3,2;,6;
2025/01/08;0000 UTC;;993,5;993,5;992,6;;26,5;23,6;26,8;26,5;23,6;23;84;81;84;59;1,7;,4;
2025/01/08;0100 UTC;;994,7;994,7;993,5;;26;;26,5;26;;;;;;237;1,5;,5;
2025/01/08;0200 UTC;;995,2;995,2;994,7;;25,8;;26;25,8;;;;;;318;,9;,2;
2025/01/08;0300 UTC;;995,1;995,2;995;;25,5;;25,8;25,5;;;;;;233;,5;,1;
2025/01/08;0400 UTC;;994,9;995,2;994,9;;25,2;;25,6;25,2;;;;;;268;,6;,2;
2025/01/08;0500 UTC;;994,2;994,9;994,2;;24,8;;25,2;24,8;;;;;;234;,7;,5;
2025/01/08;0600 UTC;;993,2;994,2;993,2;;24,4;;24,8;24,4;;;;;;244;1,6;,5;
2025/01/08;0700 UTC;;993,3;993,3;993,2;;24,4;;24,4;24,3;;;;;;245;2;,9;
2025/01/08;0800 UTC;;993,6;993,6;993,3;;24,3;;24,4;24,3;;;;;;227;2,1;1;
2025/01/08;0900 UTC;;994,1;994,1;993,6;;24,2;;24,3;24,2;;;;;;171;3,9;1,3;
2025/01/08;1000 UTC;;994,8;994,8;994,1;14,7;24,1;;24,2;24,1;;;;;;189;3,9;,6;
2025/01/08;1100 UTC;;995,6;995,6;994,8;263;24,5;;24,5;24,1;;;;;;184;1,8;,6;
2025/01/08;1200 UTC;;996,3;996,3;995,6;680,6;25,5;;25,5;24,5;;;;;;171;1,8;,8;
2025/01/08;1300 UTC;;996,5;996,5;996,3;1420,8;26,1;;26,2;25,5;;;;;;113;3,6;1,5;
2025/01/08;1400 UTC;;996,5;996,7;996,5;1462,4;26,8;24,8;26,9;26,1;;;;;89;118;3,2;1,2;
2025/01/08;1500 UTC;;996;996,5;996;1802,6;27,7;23,6;27,7;26,8;26,2;23,5;97;78;79;106;4;1,8;
2025/01/08;1600 UTC;;994,9;996;994,9;2830,2;29,1;22,2;29,2;27,7;24,6;21,8;83;65;66;117;5;2,1;
2025/01/08;1700 UTC;;993,3;994,9;993,3;2355,6;29,4;22;29,5;29,1;22,6;21,4;68;62;64;95;5,4;2,1;
2025/01/08;1800 UTC;;991,6;993,3;991,6;2959,4;30,3;22,2;30,5;29,4;22,8;21,7;65;59;62;93;5,2;1,8;
2025/01/08;1900 UTC;;990,6;991,6;990,6;1567,6;29,5;22,6;30,3;29,5;23,1;22,1;68;62;66;106;4,3;1,3;
2025/01/08;2000 UTC;;990,9;991;990,6;1130,5;29,5;22,6;29,7;29,4;23,4;22,4;69;65;67;99;3,5;1,4;
2025/01/08;2100 UTC;;991,1;991,1;990,8;278;28,4;23,8;29,5;28,4;24,2;22,3;77;66;77;117;2,9;,7;
2025/01/08;2200 UTC;;991,8;991,8;991,1;40;27,4;24,1;28,4;27,4;24,2;23,1;82;75;82;208;3,1;,5;
2025/01/08;2300 UTC;;992,4;992,4;991,7;;26,3;;27,4;26,3;;;;;;251;,9;,3;
2025/01/09;0000 UTC;;993,1;993,1;992,4;;25,6;;26,3;25,6;;;;;;283;,7;,3;
2025/01/09;0100 UTC;;994;994;993,1;;25,2;;25,6;25,2;;;;;;327;1;,4;
2025/01/09;0200 UTC;;994,2;994,2;994;;24,9;;25,2;24,9;;;;;;237;1,8;1,2;
2025/01/09;0300 UTC;;994,3;994,5;994,2;;24,8;;25;24,8;;;;;;1;3,8;1,7;
2025/01/09;0400 UTC;;993,9;994,6;993,9;;24,4;;25;24,4;;;;;;146;6,8;1;
2025/01/09;0500 UTC;;993;993,9;993;;24,4;;24,4;24,2;;;;;;61;2,6;,6;
2025/01/09;0600 UTC;;992,7;993,1;992,7;;24,5;;24,5;24,4;;;;;;122;1,6;,4;
2025/01/09;0700 UTC;;992,3;992,7;992,3;;24,5;;24,6;24,5;;;;;;41;2;,6;
2025/01/09;0800 UTC;;992,8;992,8;992,3;;24,4;;24,5;24,3;;;;;;60;1,3;,4;
2025/01/09;0900 UTC;;993,4;993,4;992,8;;24,7;;24,7;24,4;;;;;;53;1,5;,5;
2025/01/09;1000 UTC;;994;994;993,4;18,9;24,5;;24,8;24,5;;;;;;82;1,2;,4;
2025/01/09;1100 UTC;;994,6;994,6;994;518,2;25,2;;25,3;24,5;;;;;;76;1,8;1;
2025/01/09;1200 UTC;;995;995;994,6;825,7;25,9;;26;25,2;;;;;;29;2,5;1,1;
2025/01/09;1300 UTC;;995,4;995,4;994,9;1314,7;26,3;;26,3;25,8;;;;;;78;2,7;1;
2025/01/09;1400 UTC;;995,2;995,4;995,2;1937,2;27,3;23,4;27,3;26,3;26,6;23,2;99;78;79;68;3,7;1,3;
2025/01/09;1500 UTC;;994,7;995,3;994,7;2516,2;28,6;23,3;28,6;27,3;24;22,1;83;71;73;105;4,9;1,7;
2025/01/09;1600 UTC;;993,7;994,7;993,7;3019,9;29,1;22,5;29,3;28,6;23,9;22,2;76;65;67;91;5,7;2,1;
2025/01/09;1700 UTC;;992,6;993,7;992,6;2613,9;29,2;22,2;29,5;29,1;22,8;21,3;69;62;66;109;6,2;2,9;
2025/01/09;1800 UTC;;991,1;992,6;991,1;1835,4;29;21,8;29,2;29;22,4;21,5;67;63;65;113;5,7;2;
2025/01/09;1900 UTC;;989,9;991,1;989,9;1497,8;29,2;22,4;29,2;28,9;22,4;21,5;68;64;67;104;5,5;1,5;
2025/01/09;2000 UTC;;989,7;989,9;989,6;1435,1;29,6;22,1;29,6;29,1;22,5;21,5;67;63;64;106;3,7;1,3;
2025/01/09;2100 UTC;;990,1;990,1;989,6;615,6;29,5;22,3;29,6;29,3;22,8;22;67;64;65;131;2,9;,9;
2025/01/09;2200 UTC;;991,3;991,3;990,1;178,3;28,4;24,6;29,6;28,4;24,6;22,2;80;65;80;277;2,3;,4;
2025/01/09;2300 UTC;;992,3;992,3;991,3;;27,2;25,5;28,4;27,2;25,6;24,5;91;80;91;141;1,5;,4;
2025/01/10;0000 UTC;;992,5;992,6;992,2;;27,2;24,3;27,2;27,1;26,8;23,7;98;81;84;146;3,3;,6;
2025/01/10;0100 UTC;;993,2;993,3;992,5;;26,5;;27,2;26,5;26,4;24,3;99;84;;178;2;,5;
