REGIAO:;N
UF:;AM
ESTACAO:;COARI
CODIGO (WMO):;A117
LATITUDE:;-4,09749999
LONGITUDE:;-63,14527777
ALTITUDE:;33,84
DATA DE FUNDACAO:;12/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;1003,8;1003,8;1002,1;0;27,9;25,1;28,1;27,9;25,3;24,9;86;83;85;310;4,9;1,9;
2025/01/01;0100 UTC;;1004,7;1004,7;1003,8;0;27,4;23,8;27,9;27,4;25,1;23,8;85;81;81;348;6;2,8;
2025/01/01;0200 UTC;;1005,6;1005,6;1004,7;,1;25,7;24,2;27,4;25,7;24,6;23,6;93;81;92;357;6;2,1;
2025/01/01;0300 UTC;;1005,9;1005,9;1005,6;0;25,3;23,9;25,7;25,3;24,2;23,8;92;91;92;6;5,4;1,6;
2025/01/01;0400 UTC;;1006,8;1006,8;1005,8;,7;24,8;23;25,4;24,8;24;22,9;92;89;89;329;4,3;1,6;
2025/01/01;0500 UTC;;1005,5;1006,8;1005,4;,1;24,4;22,8;24,9;24,4;23;22,6;91;89;91;21;3,3;,5;
2025/01/01;0600 UTC;;1005,3;1005,5;1005,3;0;24,3;22,9;24,5;24,1;23,1;22,6;92;91;92;129;2;,3;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1500 UTC;;1007,3;;;133;29,4;24,9;;;;;;;77;;;;
2025/01/01;1600 UTC;;1006,3;1007,3;1006,3;1974,6;29,2;24,7;30,6;28,1;25,9;24,1;82;73;77;296;5,1;1,6;
2025/01/01;1700 UTC;;1004,9;1006,3;1004,9;663;27,9;24,7;29,4;27,2;25;23,9;85;75;83;236;7,1;,2;
2025/01/01;1800 UTC;;1004,4;1004,9;1004,1;1359,3;28,1;24;29,8;27,7;25,7;23,8;85;74;79;266;3,8;1,3;
2025/01/01;1900 UTC;;1003,7;1004,4;1003,7;253,5;26,5;24,3;28,1;26,5;24,5;23,8;88;79;88;204;3,5;,1;
2025/01/01;2000 UTC;;1003,2;1004,1;1003,2;134,1;24,2;22,6;26,6;23,7;24,5;21,9;92;87;91;288;10,8;,4;
2025/01/01;2100 UTC;;1002,9;1003,2;1002,5;57,6;24;22,7;24,3;23,9;22,9;22,5;93;90;92;68;3,2;1,9;
2025/01/01;2200 UTC;;1003,5;1003,5;1002,5;10,8;23,9;22,6;24;23,7;22,7;22,4;93;92;92;80;3,5;,9;
2025/01/01;2300 UTC;;1004,6;1004,6;1003,5;1,7;24,2;22,9;24,2;23,9;22,9;22,6;93;92;92;156;2,4;0;
2025/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1600 UTC;;1007,5;1007,7;1007,5;1997,7;29,1;23,8;29,7;28;24,5;23,1;79;69;73;323;;2;
2025/01/02;1700 UTC;;1006,6;1007,5;1006,6;2654;30;23,8;31,5;28,7;26,2;23,3;77;65;70;357;5,4;1,7;
2025/01/02;1800 UTC;;1005,3;1006,6;1005,3;2413,3;30,3;24,9;31;29,9;25,3;23,4;74;66;73;313;4,3;2,1;
2025/01/02;1900 UTC;;1003,7;1005,3;1003,7;2700;31,4;24,6;31,6;29,7;25,4;24;74;66;67;344;5,6;1,7;
2025/01/02;2000 UTC;;1002,7;1003,7;1002,7;1882,7;31;24,2;31,6;30,4;25,2;23,5;72;64;67;46;4,6;2,1;
2025/01/02;2100 UTC;;1002;1002,8;1002;400,1;28,8;24,1;31;28,8;24,5;23,4;77;65;76;97;4,4;,9;
2025/01/02;2200 UTC;;1002,3;1002,3;1001,9;120,7;28;24,3;28,8;28;24,7;23,9;81;75;80;114;2,7;,3;
2025/01/02;2300 UTC;;1003,3;1003,3;1002,3;4,6;25,2;23,5;28;25,2;24,4;23,4;90;80;90;81;7,4;1,3;
2025/01/03;0000 UTC;;1004;1004;1003,3;0;25,3;23,4;25,5;25,1;23,6;23,3;90;89;89;142;3,5;1,6;
2025/01/03;0100 UTC;;1005,4;1005,4;1004;0;25,2;23,6;25,3;25,1;23,6;23,4;91;89;91;98;3,2;,3;
2025/01/03;0200 UTC;;1006,4;1006,5;1005,4;0;24,8;23,1;25,2;24,8;23,5;23,1;91;90;90;105;2,4;1,1;
2025/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1400 UTC;;;;;59,7;;;;;;;;;;;;;
2025/01/03;1500 UTC;;1007,1;1007,5;1007,1;2948;30,9;23,1;32,1;28,8;25,4;22,8;73;61;63;117;3,5;1,1;
2025/01/03;1600 UTC;;1006,9;1007,1;1006,9;3367,4;31,6;23,6;32,5;30,9;24,7;21,8;68;57;62;58;4,8;1,5;
2025/01/03;1700 UTC;;1005,8;1006,9;1005,8;3080,9;32,4;23,7;32,7;31,3;25,2;22;67;56;60;50;4,4;1,2;
2025/01/03;1800 UTC;;1004,2;1005,8;1004,2;3309,9;32,8;23,4;33,1;32,3;24,6;22,1;62;54;58;65;6;2,1;
2025/01/03;1900 UTC;;1002,7;1004,2;1002,7;2903,5;32,7;22,6;33,9;32,1;24,6;21,5;62;52;55;33;4,9;1,7;
2025/01/03;2000 UTC;;1001,2;1002,7;1001,2;1195,5;31,2;23;33,2;31,1;23,8;21,6;63;52;62;64;4;,6;
2025/01/03;2100 UTC;;1000,9;1001,2;1000,8;721,5;31,3;24,3;31,7;30,7;24,6;21,8;67;59;66;142;2,9;,5;
2025/01/03;2200 UTC;;1001,9;1001,9;1000,9;353;30,2;24,4;31,5;30,1;24,8;23,6;72;64;71;186;2,5;,4;
2025/01/03;2300 UTC;;1002,4;1002,4;1001,6;28;28,1;23,1;30,2;28,1;24,5;22,9;76;70;74;6;5,6;1,5;
2025/01/04;0000 UTC;;1004,5;1004,5;1002,4;0;26,8;24,1;28,1;26,8;24,2;22,5;85;73;85;55;6,3;2,5;
2025/01/04;0100 UTC;;1004,3;1004,5;1004,1;0;25,4;23,7;26,8;25,4;24,2;23,6;90;85;90;205;4;1,3;
2025/01/04;0200 UTC;;1005,2;1005,4;1004,3;0;25,6;24;25,6;25,4;24;23,6;91;89;91;149;2,8;,7;
2025/01/04;0300 UTC;;1005,6;1005,6;1005;0;25,5;23,9;25,7;25,5;24;23,8;91;90;91;133;2;,2;
2025/01/04;0400 UTC;;1005,9;1006,2;1005,6;0;25,1;23,7;25,5;25,1;23,9;23,7;92;91;92;136;1,3;,2;
2025/01/04;0500 UTC;;1005,4;1005,9;1005,3;0;25;23,6;25,1;24,9;23,7;23,6;92;92;92;122;1;,1;
2025/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1600 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1700 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1800 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1900 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;2000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;2100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;2200 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1200 UTC;;1007,8;;;180,3;24,3;22,5;;;;;;;90;156;;1,4;
2025/01/05;1300 UTC;;1008,4;1008,4;1007,8;666;25,1;22,9;25,2;24,2;23,2;22,3;90;87;88;129;2,9;1,5;
2025/01/05;1400 UTC;;1008,4;1008,5;1008,4;1233,5;26,9;23,4;27,5;25,1;24,2;22,8;89;79;81;84;3,6;1,5;
2025/01/05;1500 UTC;;1007,9;1008,4;1007,9;1553,7;27,7;23,7;27,7;26,9;24,1;22,9;82;76;79;45;4,4;1,8;
2025/01/05;1600 UTC;;1007,5;1007,9;1007,5;2213,2;28,8;23,3;29,6;27,7;24,4;22,9;79;69;72;69;4,1;1,8;
2025/01/05;1700 UTC;;1006,7;1007,5;1006,7;2567,2;29,8;23,7;30,8;28,6;25;23;75;65;70;19;3,9;1,8;
2025/01/05;1800 UTC;;1005,5;1006,7;1005,5;2702,1;30,9;24,3;30,9;29,4;25;23,6;75;67;68;34;5,5;2,9;
2025/01/05;1900 UTC;;1004,9;1005,6;1004,9;571,3;26,3;23,8;31;25,9;24,9;22,7;89;65;86;331;7,3;2;
2025/01/05;2000 UTC;;1004;1004,9;1004;1041,6;29,6;23,9;29,6;26,3;24,8;23,6;87;71;71;142;4,5;,4;
2025/01/05;2100 UTC;;1004,4;1004,4;1003,6;1028;26,7;23;30,8;26,5;25;22,2;81;67;80;40;10,8;4,5;
2025/01/05;2200 UTC;;1004,4;1004,6;1004,3;74,9;24,1;22,5;26,7;24,1;22,7;22;91;79;91;35;10,9;2,6;
2025/01/05;2300 UTC;;1004,3;1004,5;1004,3;7,8;23,9;22,2;24,1;23,9;22,5;22,2;91;90;90;70;6,1;1,2;
2025/01/06;0000 UTC;;1004,9;1004,9;1004,3;0;23,7;22,2;24;23,6;22,4;22,1;91;90;91;4;2,2;,5;
2025/01/06;0100 UTC;;1005,7;1005,8;1004,9;0;23,8;22,1;23,9;23,7;22,3;22,1;91;90;91;44;2,1;,9;
2025/01/06;0200 UTC;;1006,6;1006,6;1005,7;0;23,6;22,2;23,8;23,6;22,2;22,1;92;91;91;57;1,7;,3;
2025/01/06;0300 UTC;;1007,1;1007,1;1006,6;0;23,7;22,3;23,7;23,5;22,3;22,1;92;91;92;83;1,6;,4;
2025/01/06;0400 UTC;;1007,1;1007,3;1007,1;0;23,9;22,2;23,9;23,7;22,4;22,2;92;90;90;140;2,1;,5;
2025/01/06;0500 UTC;;1006,3;1007,1;1006,3;0;23,6;22,3;23,9;23,6;22,3;22,1;92;90;92;84;1,1;0;
2025/01/06;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/06;1400 UTC;;1009;;;125,3;29,2;23,8;;;;;;;73;;;;
2025/01/06;1500 UTC;;1008,4;1009;1008,4;3154,7;30,5;22,7;31,5;28,5;24,9;22,5;75;63;63;110;3,6;1,5;
2025/01/06;1600 UTC;;1007,8;1008,4;1007,8;3414,7;31,2;24,2;32,1;30;25,4;22,6;72;62;66;53;5,5;2,5;
2025/01/06;1700 UTC;;1006,4;1007,8;1006,4;3453,3;31,5;23,8;32,1;30,8;25,1;22,6;70;59;64;77;6,4;1,7;
2025/01/06;1800 UTC;;1004,5;1006,4;1004,5;2619,5;30,8;23,3;32,6;30,7;25,9;22,3;69;59;65;51;6,6;1,6;
2025/01/06;1900 UTC;;1003,2;1004,5;1003,2;1957,5;30,8;24,8;32,6;30,5;25,4;22,4;70;59;70;35;4,8;2,4;
2025/01/06;2000 UTC;;1002,6;1003,2;1002,5;2175;32,2;24;33,3;30,9;25,1;22,8;70;55;62;68;8,4;4,8;
2025/01/06;2100 UTC;;1003;1003;1002,4;1034,1;28,4;23,2;32,3;28,3;24,7;22,5;74;62;74;36;8,4;4;
2025/01/06;2200 UTC;;1002,9;1003,1;1002,6;219,8;27,2;22,9;28,4;27,2;23,2;22,6;78;72;78;14;7,2;2,7;
2025/01/06;2300 UTC;;1003,5;1003,5;1002,9;14,4;26,6;23,1;27,2;26,6;23,3;22,8;81;77;81;34;4,5;2;
2025/01/07;0000 UTC;;1004,8;1004,8;1003,5;0;26,4;23,2;26,7;26,3;23,4;23,1;83;81;83;15;4,3;1,1;
2025/01/07;0100 UTC;;1005,7;1005,7;1004,8;0;26;23,7;26,5;25,8;23,7;23,1;87;82;87;48;2,9;1,8;
2025/01/07;0200 UTC;;1006,6;1006,6;1005,7;0;25,6;23,6;26,1;25,5;23,8;23,4;89;87;89;73;2,9;0;
2025/01/07;0300 UTC;;1006,6;1006,8;1006,6;0;25;23,3;25,8;25;23,9;23,3;90;88;90;141;1,7;,4;
2025/01/07;0400 UTC;;1006,3;1006,6;1006,3;0;25;23,4;25,2;24,9;23,5;23,3;91;90;91;141;1,1;0;
2025/01/07;0500 UTC;;1005,7;1006,3;1005,7;0;25,1;23,5;25,2;25;23,6;23,4;91;91;91;141;1,3;,8;
2025/01/07;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1600 UTC;;;;;;;;;;;;;;;;;;
2025/01/07;1700 UTC;;1005;;;1135,3;32,3;25;;;;;;;65;305;;1,6;
2025/01/07;1800 UTC;;1003,7;1005;1003,7;3321,2;31,9;24,8;32,6;31,4;25,3;23,2;68;59;66;333;5,3;1,7;
2025/01/07;1900 UTC;;1002,6;1003,7;1002,6;2758,9;32,2;24,2;33,1;31,3;25,1;22,9;69;57;63;326;4,4;2;
2025/01/07;2000 UTC;;1002,2;1002,6;1002,2;658;28,5;24,4;32,3;28,5;24,7;23,6;78;61;78;99;6,8;1,5;
2025/01/07;2100 UTC;;1002,6;1002,6;1002,1;62,5;27;24,6;28,5;27;24,8;24,4;86;79;86;112;4,5;1,1;
2025/01/07;2200 UTC;;1003,8;1003,8;1002,6;83,5;26,8;24,6;27,1;26,6;24,7;24,4;88;86;88;136;3,8;,4;
2025/01/07;2300 UTC;;1004,8;1004,8;1003,8;3,6;25,9;23,6;26,8;25,4;24,5;23,1;89;83;87;171;3,8;,6;
2025/01/08;0000 UTC;;1006;1006;1004,8;0;25,8;24;26;25,4;24;23,6;91;87;90;143;2,6;1;
2025/01/08;0100 UTC;;1006,7;1006,7;1006;0;25,6;23,8;25,9;25,6;24;23,8;90;89;90;149;3,2;1,2;
2025/01/08;0200 UTC;;1007,6;1007,6;1006,7;0;25,4;23,4;25,6;25,4;23,8;23,4;90;89;89;183;3,1;,8;
2025/01/08;0300 UTC;;1007,8;1007,9;1007,6;0;25,2;23,5;25,4;25,2;23,6;23,4;90;89;90;205;2,6;1;
2025/01/08;0400 UTC;;1007,5;1007,8;1007,5;0;24,9;23,4;25,2;24,9;23,5;23,3;91;90;91;186;2,6;,8;
2025/01/08;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1600 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1700 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1800 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;1900 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;2000 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;2100 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;2200 UTC;;;;;;;;;;;;;;;;;;
2025/01/08;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/09;1300 UTC;;1007,4;;;178,2;25,5;23,8;;;;;;;90;153;;1,3;
2025/01/09;1400 UTC;;1007,5;1007,5;1007,4;1347,8;27,8;24,2;27,9;25,5;24,9;23,7;91;81;81;119;2,6;,7;
2025/01/09;1500 UTC;;1007;1007,5;1007;1314,1;28;24;28,2;27,1;24,7;23,4;84;78;79;192;3,8;1,8;
2025/01/09;1600 UTC;;1005,9;1007;1005,9;2476,4;29,6;23,6;29,9;28;24,7;23,3;80;70;71;224;4,1;1,1;
2025/01/09;1700 UTC;;1006,1;1006,2;1005,6;754,3;24,2;22,8;30,4;24,2;24,6;21,7;92;67;92;20;10,1;2,4;
2025/01/09;1800 UTC;;1005;1006,1;1005;83,4;24,4;23;24,5;24,2;23,2;22,8;92;92;92;207;5;,5;
2025/01/09;1900 UTC;;1003,6;1005;1003,6;140,5;24,5;23;24,7;24,3;23,3;22,9;92;91;92;162;1,9;1;
2025/01/09;2000 UTC;;1002,9;1003,6;1002,9;246,1;24,7;23,3;24,8;24,4;23,3;23;92;92;92;147;3,7;1,2;
2025/01/09;2100 UTC;;1002,5;1002,9;1002,5;222,7;24,8;23,4;24,9;24,6;23,5;23,1;92;91;92;131;3,8;1;
2025/01/09;2200 UTC;;1002,8;1002,8;1002,5;116,5;24,8;23,4;25;24,8;23,6;23,4;92;92;92;105;3,3;,5;
2025/01/09;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/10;1300 UTC;;1007,3;;;640,9;26,7;23,8;;;;;;;84;147;;1,1;
2025/01/10;1400 UTC;;1007,4;1007,5;1007,3;1721,9;28,9;24,6;28,9;26,6;25;23,4;85;76;77;107;3,6;1,3;
2025/01/10;1500 UTC;;1007;1007,4;1007;1927,2;29,8;25,2;30,1;28,2;25,2;23,4;79;71;76;124;3,1;1,1;
2025/01/10;1600 UTC;;1006,3;1007;1006,3;1993,4;30,6;25,2;30,7;29,8;25,3;23,7;76;69;73;74;3,9;1,2;
2025/01/10;1700 UTC;;1005,1;1006,3;1005,1;3254,9;31,7;24,2;32,5;30,1;26,4;23,5;75;62;65;96;5,2;2,2;
2025/01/10;1800 UTC;;1003,5;1005,1;1003,5;3329,9;32,4;24;32,7;31,6;25,6;22,9;69;58;61;123;5,5;1,2;
2025/01/10;1900 UTC;;1002,3;1003,5;1002,3;2585;31,8;23;34,2;31,8;25,8;22,6;65;53;60;102;4,2;1,3;
2025/01/10;2000 UTC;;1001,6;1002,3;1001,6;1497,5;31,3;23,6;34,3;31,3;26,1;22,4;64;53;64;74;4;1,8;
2025/01/10;2100 UTC;;1002,5;1002,5;1001,5;318,2;27,3;23,2;31,4;27,3;25,1;23,1;79;62;79;33;9;4,7;
2025/01/10;2200 UTC;;1002,8;1002,8;1002,3;114,2;25,1;22,6;27,3;23,9;23,5;21;90;79;87;182;9;1,1;
2025/01/10;2300 UTC;;1003,4;1003,4;1002,8;14;24,9;23,3;25,4;24,6;23,3;22,7;91;87;91;137;2,3;,5;
2025/01/11;0000 UTC;;1004;1004;1003,4;0;25,1;23,6;25,3;24,8;23,7;23,3;92;91;91;166;2;,4;
2025/01/11;0100 UTC;;1004,9;1004,9;1004;0;25;23,5;25,3;24,8;23,8;23,3;92;91;92;155;2,1;,1;
2025/01/11;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1300 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1400 UTC;;;;;;;;;;;;;;;;;;
2025/01/11;1500 UTC;;1007;;;624,5;29,9;25,1;;;;;;;76;111;;1,9;
2025/01/11;1600 UTC;;1006,5;1007;1006,5;2522,7;32,6;26,1;32,6;29,9;26,3;24,3;76;66;69;69;5;1,7;
2025/01/11;1700 UTC;;1005;1006,5;1005;3100,6;32,2;26,1;32,8;30,8;26,3;23,8;73;61;70;119;5,7;1,5;
2025/01/11;1800 UTC;;1003,2;1005;1003,2;3411,1;32,9;24,5;33,5;31,9;26,5;23,4;70;57;61;71;6,5;2,3;
2025/01/11;1900 UTC;;1002,1;1003,2;1002,1;2459,4;32;24,8;33,2;30,7;25,5;23,9;73;58;66;335;6,1;1,7;
2025/01/11;2000 UTC;;1001,5;1002,1;1001,5;1393;31,7;24,7;32;30,6;25,7;23,8;74;62;67;338;4;2;
2025/01/11;2100 UTC;;1001,3;1001,6;1001,3;1079,9;31,2;23,8;31,7;29,8;25,3;23,4;75;64;65;7;4,8;1,5;
2025/01/11;2200 UTC;;1002,4;1002,4;1001,3;507,9;29,7;23,9;31,2;29,7;25,5;23,3;75;64;71;128;4,6;,5;
2025/01/11;2300 UTC;;1003,3;1003,3;1002,4;18;27,7;25;29,6;27,7;25;23,6;85;71;85;128;3,2;1,6;
2025/01/12;0000 UTC;;1005;1005;1003,3;,1;25,3;24;27,8;25,2;25,2;23,2;92;84;92;65;8,5;2,8;
2025/01/12;0100 UTC;;1005,2;1005,2;1004,6;0;25,4;24,2;25,5;25,2;24,3;24;93;92;93;143;5,5;,4;
2025/01/12;0200 UTC;;1006,1;1006,1;1005,2;0;25,3;24;25,4;25,2;24,2;23,9;93;92;92;144;1,7;0;
2025/01/12;0300 UTC;;1006,2;1006,3;1006,1;0;25,1;23,8;25,3;25;24;23,8;93;92;93;199;1,2;0;
